Lvl,AC,Low Save,Median Save,High Save,HP,Atk,DC,CRB DCs/Lvl,,,,,,,,,,,,
-1,16,+3,+5,+7,8,+7,16,—,,,,,,,,,,,,
0,16,+4,+5,+7,16,+7,16,14,,,,,,,,,,,,
1,17,+4,+7,+9,20,+9,17,15,,,,,,,,,,,,
2,18,+6,+7,+10,30,+10,18,16,,,,,,,,,,,,
3,19,+6,+9,+11,45,+11,20,18,,,,,,,,,,,,
4,21,+9,+10,+13,60,+14,21,19,,,,,,,,,,,,
5,22,+9,+12,+14,75,+15,22,20,,,,,,,,,,,,
6,24,+11,+13,+16,95,+17,23,22,,,,,,,,,,,,
7,25,+12,+15,+17,115,+18,25,23,,,,,,,,,,,,
8,27,+14,+16,+18,140,+20,26,24,,,,,,,,,,,,
9,28,+15,+18,+20,165,+21,28,26,,,,,,,,,,,,
10,30,+17,+19,+22,175,+23,29,27,,,,,,,,,,,,
11,31,+18,+21,+24,215,+24,30,28,,,,,,,,,,,,
12,33,+19,+22,+25,215,+26,32,30,,,,,,,,,,,,
13,34,+21,+23,+26,235,+28,33,31,,,,,,,,,,,,
14,36,+22,+26,+28,270,+29,36,32,,,,,,,,,,,,
15,37,+24,+27,+30,305,+30,37,34,,,,,,,,,,,,
16,39,+26,+29,+31,325,+33,38,35,,,,,,,,,,,,
17,40,+27,+30,+32,315,+33,38,36,,,,,,,,,,,,
18,42,+30,+31,+34,355,+35,40,38,,,,,,,,,,,,
19,44,+31,+34,+35,390,+37,42,39,,,,,,,,,,,,
20,46,+32,+35,+37,368,+38,44,40,,,,,,,,,,,,
21,47,+33,+38,+38,350,+40,46,42,,,,,,,,,,,,
22,?,?,?,?,?,?,?,44,,,,,,,,,,,,
23,?,?,?,?,?,?,?,46,,,,,,,,,,,,
24,?,?,?,?,?,?,?,48,,,,,,,,,,,,
25,54,+40,+42,+43,550,+47,49,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
