,attack_sucess_1,attack_sucess_2,total_dmg,avg_dmg,build_name,build_level,target_ac,encounter_num
0,0.8,0.4,89.0,8.9,dwarf barbarian strength,1,10,0
1,0.7,0.2,49.0,4.9,dwarf barbarian strength,1,10,1
2,0.5,0.6,75.0,7.5,dwarf barbarian strength,1,10,2
3,0.8,0.7,108.0,10.8,dwarf barbarian strength,1,10,3
4,0.6,0.5,75.0,7.5,dwarf barbarian strength,1,10,4
5,0.5,0.4,61.0,6.1,dwarf barbarian strength,1,10,5
6,0.8,0.5,74.0,7.4,dwarf barbarian strength,1,10,6
7,0.8,0.6,86.0,8.6,dwarf barbarian strength,1,10,7
8,0.9,0.7,107.0,10.7,dwarf barbarian strength,1,10,8
9,0.6,0.5,78.0,7.8,dwarf barbarian strength,1,10,9
10,0.6,0.4,67.0,6.7,dwarf barbarian strength,1,10,10
11,0.8,0.5,86.0,8.6,dwarf barbarian strength,1,10,11
12,0.8,0.5,85.0,8.5,dwarf barbarian strength,1,10,12
13,0.8,0.4,60.0,6.0,dwarf barbarian strength,1,10,13
14,0.5,0.5,50.0,5.0,dwarf barbarian strength,1,10,14
15,0.8,0.4,71.0,7.1,dwarf barbarian strength,1,10,15
16,0.9,0.5,71.0,7.1,dwarf barbarian strength,1,10,16
17,0.7,0.5,78.0,7.8,dwarf barbarian strength,1,10,17
18,0.6,0.4,49.0,4.9,dwarf barbarian strength,1,10,18
19,0.9,0.5,82.0,8.2,dwarf barbarian strength,1,10,19
20,0.7,0.5,77.0,7.7,dwarf barbarian strength,1,10,20
21,0.9,0.5,85.0,8.5,dwarf barbarian strength,1,10,21
22,0.9,0.6,92.0,9.2,dwarf barbarian strength,1,10,22
23,1.0,0.4,78.0,7.8,dwarf barbarian strength,1,10,23
24,0.9,0.5,85.0,8.5,dwarf barbarian strength,1,10,24
25,0.8,0.5,57.0,5.7,dwarf barbarian strength,1,10,25
26,0.9,0.3,65.0,6.5,dwarf barbarian strength,1,10,26
27,0.9,0.4,78.0,7.8,dwarf barbarian strength,1,10,27
28,0.7,0.7,84.0,8.4,dwarf barbarian strength,1,10,28
29,0.5,0.3,48.0,4.8,dwarf barbarian strength,1,10,29
30,0.7,0.3,60.0,6.0,dwarf barbarian strength,1,10,30
31,0.6,0.5,62.0,6.2,dwarf barbarian strength,1,10,31
32,0.6,0.7,81.0,8.1,dwarf barbarian strength,1,10,32
33,0.7,0.3,59.0,5.9,dwarf barbarian strength,1,10,33
34,0.7,0.6,70.0,7.0,dwarf barbarian strength,1,10,34
35,0.9,0.4,70.0,7.0,dwarf barbarian strength,1,10,35
36,0.8,0.5,68.0,6.8,dwarf barbarian strength,1,10,36
37,1.0,0.4,70.0,7.0,dwarf barbarian strength,1,10,37
38,0.8,0.6,75.0,7.5,dwarf barbarian strength,1,10,38
39,0.8,0.7,82.0,8.2,dwarf barbarian strength,1,10,39
40,0.7,0.4,68.0,6.8,dwarf barbarian strength,1,10,40
41,0.9,0.7,97.0,9.7,dwarf barbarian strength,1,10,41
42,0.7,0.3,53.0,5.3,dwarf barbarian strength,1,10,42
43,0.8,0.4,76.0,7.6,dwarf barbarian strength,1,10,43
44,0.6,0.5,57.0,5.7,dwarf barbarian strength,1,10,44
45,0.7,0.7,79.0,7.9,dwarf barbarian strength,1,10,45
46,0.8,0.6,78.0,7.8,dwarf barbarian strength,1,10,46
47,0.7,0.6,63.0,6.3,dwarf barbarian strength,1,10,47
48,0.7,0.3,55.0,5.5,dwarf barbarian strength,1,10,48
49,0.5,0.3,46.0,4.6,dwarf barbarian strength,1,10,49
50,0.9,0.4,77.0,7.7,dwarf barbarian strength,1,10,50
51,1.0,0.1,53.0,5.3,dwarf barbarian strength,1,10,51
52,0.8,0.7,88.0,8.8,dwarf barbarian strength,1,10,52
53,0.4,0.2,26.0,2.6,dwarf barbarian strength,1,10,53
54,0.6,0.4,59.0,5.9,dwarf barbarian strength,1,10,54
55,0.8,0.4,64.0,6.4,dwarf barbarian strength,1,10,55
56,0.7,0.6,74.0,7.4,dwarf barbarian strength,1,10,56
57,0.7,0.8,94.0,9.4,dwarf barbarian strength,1,10,57
58,0.7,0.4,81.0,8.1,dwarf barbarian strength,1,10,58
59,0.8,0.6,68.0,6.8,dwarf barbarian strength,1,10,59
60,0.9,0.2,63.0,6.3,dwarf barbarian strength,1,10,60
61,0.8,0.4,77.0,7.7,dwarf barbarian strength,1,10,61
62,0.7,0.4,62.0,6.2,dwarf barbarian strength,1,10,62
63,0.7,0.4,56.0,5.6,dwarf barbarian strength,1,10,63
64,0.6,0.5,59.0,5.9,dwarf barbarian strength,1,10,64
65,0.5,0.7,77.0,7.7,dwarf barbarian strength,1,10,65
66,0.9,0.7,92.0,9.2,dwarf barbarian strength,1,10,66
67,0.8,0.6,75.0,7.5,dwarf barbarian strength,1,10,67
68,0.7,0.7,85.0,8.5,dwarf barbarian strength,1,10,68
69,0.9,0.5,83.0,8.3,dwarf barbarian strength,1,10,69
70,0.8,0.3,72.0,7.2,dwarf barbarian strength,1,10,70
71,0.7,0.4,65.0,6.5,dwarf barbarian strength,1,10,71
72,1.0,0.7,90.0,9.0,dwarf barbarian strength,1,10,72
73,0.7,0.5,77.0,7.7,dwarf barbarian strength,1,10,73
74,0.9,0.9,125.0,12.5,dwarf barbarian strength,1,10,74
75,0.8,0.5,67.0,6.7,dwarf barbarian strength,1,10,75
76,0.8,0.6,70.0,7.0,dwarf barbarian strength,1,10,76
77,0.7,0.7,88.0,8.8,dwarf barbarian strength,1,10,77
78,0.6,0.3,56.0,5.6,dwarf barbarian strength,1,10,78
79,0.7,0.7,74.0,7.4,dwarf barbarian strength,1,10,79
80,0.8,0.6,79.0,7.9,dwarf barbarian strength,1,10,80
81,0.9,0.5,84.0,8.4,dwarf barbarian strength,1,10,81
82,0.8,0.5,73.0,7.3,dwarf barbarian strength,1,10,82
83,0.7,0.4,72.0,7.2,dwarf barbarian strength,1,10,83
