,build,level,action,attack_roll_result,attack modifier,penalties,dmg_dice,damage_type,damage_output,target_ac,crit_ac
0,dwarf barbarian strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
1,dwarf barbarian strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
2,dwarf barbarian strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
3,dwarf barbarian strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
4,dwarf barbarian strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
5,dwarf barbarian strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
6,dwarf barbarian strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,13.0,23.0
7,dwarf barbarian strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,13.0,23.0
8,dwarf barbarian strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,13.0,23.0
9,dwarf barbarian strength,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,13.0,23.0
10,dwarf fighter strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
11,dwarf fighter strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
12,dwarf fighter strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
13,dwarf fighter strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
14,dwarf fighter strength,1,str 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,13.0,23.0
15,dwarf fighter strength,1,str 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,13.0,23.0
16,dwarf fighter strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
17,dwarf fighter strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
18,dwarf fighter strength,1,str 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,13.0,23.0
19,dwarf fighter strength,1,str 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,13.0,23.0
20,dwarf fighter   dexterity,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
21,dwarf fighter   dexterity,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
22,dwarf fighter   dexterity,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
23,dwarf fighter   dexterity,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
24,dwarf fighter   dexterity,1,dex 1d10 melee attack 1,random_roll,4.0,0,10,melee,2.0,13.0,23.0
25,dwarf fighter   dexterity,1,dex 1d10 melee attack 2,random_roll,4.0,5,10,melee,2.0,13.0,23.0
26,dwarf fighter   dexterity,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
27,dwarf fighter   dexterity,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
28,dwarf fighter   dexterity,1,dex 1d12 melee attack 1,random_roll,4.0,0,12,melee,2.0,13.0,23.0
29,dwarf fighter   dexterity,1,dex 1d12 melee attack 2,random_roll,4.0,5,12,melee,2.0,13.0,23.0
30,dwarf rogue dexterity,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,13.0,23.0
31,dwarf rogue dexterity,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,13.0,23.0
32,dwarf rogue dexterity,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,13.0,23.0
33,dwarf rogue dexterity,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,13.0,23.0
34,dwarf rogue dexterity,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,13.0,23.0
35,dwarf rogue dexterity,1,dex 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,13.0,23.0
36,dwarf sorcerer charisma,1,str 1d4 melee attack 1,random_roll,3.0,0,4,melee,1.0,11.0,21.0
37,dwarf sorcerer charisma,1,str 1d4 melee attack 2,random_roll,3.0,5,4,melee,1.0,11.0,21.0
38,dwarf sorcerer charisma,1,dex 1d4 melee attack 1,random_roll,3.0,0,4,melee,1.0,11.0,21.0
39,dwarf sorcerer charisma,1,dex 1d4 melee attack 2,random_roll,3.0,5,4,melee,1.0,11.0,21.0
40,dwarf sorcerer charisma,1,str 1d6 melee attack 1,random_roll,3.0,0,6,melee,1.0,11.0,21.0
41,dwarf sorcerer charisma,1,str 1d6 melee attack 2,random_roll,3.0,5,6,melee,1.0,11.0,21.0
42,dwarf sorcerer charisma,1,dex 1d6 melee attack 1,random_roll,3.0,0,6,melee,1.0,11.0,21.0
43,dwarf sorcerer charisma,1,dex 1d6 melee attack 2,random_roll,3.0,5,6,melee,1.0,11.0,21.0
44,dwarf sorcerer charisma,1,str 1d8 melee attack 1,random_roll,3.0,0,8,melee,1.0,11.0,21.0
45,dwarf sorcerer charisma,1,str 1d8 melee attack 2,random_roll,3.0,5,8,melee,1.0,11.0,21.0
46,dwarf sorcerer charisma,1,dex 1d8 melee attack 1,random_roll,3.0,0,8,melee,1.0,11.0,21.0
47,dwarf sorcerer charisma,1,dex 1d8 melee attack 2,random_roll,3.0,5,8,melee,1.0,11.0,21.0
48,elf barbarian strength,1,str 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
49,elf barbarian strength,1,str 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
50,elf barbarian strength,1,dex 1d4 melee attack 1,random_roll,4.0,0,4,melee,2.0,14.0,24.0
51,elf barbarian strength,1,dex 1d4 melee attack 2,random_roll,4.0,5,4,melee,2.0,14.0,24.0
52,elf barbarian strength,1,str 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
53,elf barbarian strength,1,str 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
54,elf barbarian strength,1,dex 1d6 melee attack 1,random_roll,4.0,0,6,melee,2.0,14.0,24.0
55,elf barbarian strength,1,dex 1d6 melee attack 2,random_roll,4.0,5,6,melee,2.0,14.0,24.0
56,elf barbarian strength,1,str 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
57,elf barbarian strength,1,str 1d8 melee attack 2,random_roll,4.0,5,8,melee,2.0,14.0,24.0
58,elf barbarian strength,1,dex 1d8 melee attack 1,random_roll,4.0,0,8,melee,2.0,14.0,24.0
