,attack_sucess_1,attack_sucess_2,total_dmg,avg_dmg,attack_crit_status_1,attack_crit_status_2,build_name,build_level,target_ac,encounter_num,ancestry,class_build
0,1.0,0.6,50.0,10.0,0.0,0.0,dwarf barbarian strength,1,10,0,dwarf,barbarian
1,0.8,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,10,1,dwarf,barbarian
2,0.8,0.6,44.0,8.8,0.0,0.0,dwarf barbarian strength,1,10,2,dwarf,barbarian
3,0.8,0.6,38.0,7.6,0.0,0.0,dwarf barbarian strength,1,10,3,dwarf,barbarian
4,0.8,0.6,39.0,7.8,0.0,0.0,dwarf barbarian strength,1,10,4,dwarf,barbarian
5,1.0,0.4,44.0,8.8,0.0,0.0,dwarf barbarian strength,1,10,5,dwarf,barbarian
6,1.0,1.0,70.0,14.0,0.0,0.0,dwarf barbarian strength,1,10,6,dwarf,barbarian
7,0.6,1.0,52.0,10.4,0.0,0.0,dwarf barbarian strength,1,10,7,dwarf,barbarian
8,0.2,0.6,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,10,8,dwarf,barbarian
9,0.8,0.4,33.0,6.6,0.0,0.0,dwarf barbarian strength,1,10,9,dwarf,barbarian
10,1.0,0.8,44.0,8.8,0.0,0.0,dwarf barbarian strength,1,10,10,dwarf,barbarian
11,1.0,0.8,40.0,8.0,0.0,0.0,dwarf barbarian strength,1,10,11,dwarf,barbarian
12,0.8,0.6,47.0,9.4,0.0,0.0,dwarf barbarian strength,1,10,12,dwarf,barbarian
13,0.6,0.2,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,10,13,dwarf,barbarian
14,0.6,0.4,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,10,14,dwarf,barbarian
15,0.8,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,10,15,dwarf,barbarian
16,0.8,0.2,22.0,4.4,0.0,0.0,dwarf barbarian strength,1,10,16,dwarf,barbarian
17,0.8,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,10,17,dwarf,barbarian
18,0.8,0.4,42.0,8.4,0.0,0.0,dwarf barbarian strength,1,10,18,dwarf,barbarian
19,0.8,0.4,35.0,7.0,0.0,0.0,dwarf barbarian strength,1,10,19,dwarf,barbarian
0,0.6,0.6,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,11,0,dwarf,barbarian
1,0.6,0.4,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,11,1,dwarf,barbarian
2,0.8,0.2,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,11,2,dwarf,barbarian
3,1.0,0.6,60.0,12.0,0.0,0.0,dwarf barbarian strength,1,11,3,dwarf,barbarian
4,0.4,0.6,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,11,4,dwarf,barbarian
5,1.0,0.4,37.0,7.4,0.0,0.0,dwarf barbarian strength,1,11,5,dwarf,barbarian
6,1.0,0.2,38.0,7.6,0.0,0.0,dwarf barbarian strength,1,11,6,dwarf,barbarian
7,0.6,0.4,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,11,7,dwarf,barbarian
8,0.8,0.8,48.0,9.6,0.0,0.0,dwarf barbarian strength,1,11,8,dwarf,barbarian
9,0.8,0.6,42.0,8.4,0.0,0.0,dwarf barbarian strength,1,11,9,dwarf,barbarian
10,0.8,0.4,42.0,8.4,0.0,0.0,dwarf barbarian strength,1,11,10,dwarf,barbarian
11,0.4,0.4,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,11,11,dwarf,barbarian
12,0.6,0.4,35.0,7.0,0.0,0.0,dwarf barbarian strength,1,11,12,dwarf,barbarian
13,0.4,0.6,37.0,7.4,0.0,0.0,dwarf barbarian strength,1,11,13,dwarf,barbarian
14,1.0,0.2,54.0,10.8,0.0,0.0,dwarf barbarian strength,1,11,14,dwarf,barbarian
15,1.0,0.8,53.0,10.6,0.0,0.0,dwarf barbarian strength,1,11,15,dwarf,barbarian
16,0.6,0.2,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,11,16,dwarf,barbarian
17,0.6,0.4,28.0,5.6,0.0,0.0,dwarf barbarian strength,1,11,17,dwarf,barbarian
18,0.4,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,11,18,dwarf,barbarian
19,0.8,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,11,19,dwarf,barbarian
0,0.6,0.6,35.0,7.0,0.0,0.0,dwarf barbarian strength,1,12,0,dwarf,barbarian
1,0.4,0.6,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,12,1,dwarf,barbarian
2,0.6,0.8,39.0,7.8,0.0,0.0,dwarf barbarian strength,1,12,2,dwarf,barbarian
3,0.6,0.6,61.0,12.2,0.0,0.0,dwarf barbarian strength,1,12,3,dwarf,barbarian
4,0.6,0.2,24.0,4.8,0.0,0.0,dwarf barbarian strength,1,12,4,dwarf,barbarian
5,0.8,0.4,39.0,7.8,0.0,0.0,dwarf barbarian strength,1,12,5,dwarf,barbarian
6,0.8,0.0,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,12,6,dwarf,barbarian
7,0.8,0.6,37.0,7.4,0.0,0.0,dwarf barbarian strength,1,12,7,dwarf,barbarian
8,0.8,0.4,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,12,8,dwarf,barbarian
9,0.6,0.6,37.0,7.4,0.0,0.0,dwarf barbarian strength,1,12,9,dwarf,barbarian
10,0.6,0.2,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,12,10,dwarf,barbarian
11,0.6,0.4,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,12,11,dwarf,barbarian
12,0.6,0.8,43.0,8.6,0.0,0.0,dwarf barbarian strength,1,12,12,dwarf,barbarian
13,0.8,0.4,27.0,5.4,0.0,0.0,dwarf barbarian strength,1,12,13,dwarf,barbarian
14,0.6,0.2,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,12,14,dwarf,barbarian
15,0.8,0.0,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,12,15,dwarf,barbarian
16,0.8,0.8,47.0,9.4,0.0,0.0,dwarf barbarian strength,1,12,16,dwarf,barbarian
17,0.8,0.2,34.0,6.8,0.0,0.0,dwarf barbarian strength,1,12,17,dwarf,barbarian
18,0.8,0.6,41.0,8.2,0.0,0.0,dwarf barbarian strength,1,12,18,dwarf,barbarian
19,0.8,0.2,27.0,5.4,0.0,0.0,dwarf barbarian strength,1,12,19,dwarf,barbarian
0,0.8,0.4,35.0,7.0,0.0,0.0,dwarf barbarian strength,1,13,0,dwarf,barbarian
1,0.6,0.2,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,13,1,dwarf,barbarian
2,0.6,0.4,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,13,2,dwarf,barbarian
3,0.8,0.0,20.0,4.0,0.0,0.0,dwarf barbarian strength,1,13,3,dwarf,barbarian
4,0.4,0.4,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,13,4,dwarf,barbarian
5,0.2,0.2,10.0,2.0,0.0,0.0,dwarf barbarian strength,1,13,5,dwarf,barbarian
6,0.4,0.6,33.0,6.6,0.0,0.0,dwarf barbarian strength,1,13,6,dwarf,barbarian
7,1.0,0.6,53.0,10.6,0.0,0.0,dwarf barbarian strength,1,13,7,dwarf,barbarian
8,0.6,0.4,28.0,5.6,0.0,0.0,dwarf barbarian strength,1,13,8,dwarf,barbarian
9,0.6,0.8,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,13,9,dwarf,barbarian
10,0.6,0.4,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,13,10,dwarf,barbarian
11,0.4,0.2,22.0,4.4,0.0,0.0,dwarf barbarian strength,1,13,11,dwarf,barbarian
12,0.6,0.6,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,13,12,dwarf,barbarian
13,0.4,0.6,39.0,7.8,0.0,0.0,dwarf barbarian strength,1,13,13,dwarf,barbarian
14,0.8,0.4,41.0,8.2,0.0,0.0,dwarf barbarian strength,1,13,14,dwarf,barbarian
15,0.0,0.4,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,13,15,dwarf,barbarian
16,0.4,0.2,19.0,3.8,0.0,0.0,dwarf barbarian strength,1,13,16,dwarf,barbarian
17,1.0,0.2,36.0,7.2,0.0,0.0,dwarf barbarian strength,1,13,17,dwarf,barbarian
18,0.6,0.6,38.0,7.6,0.0,0.0,dwarf barbarian strength,1,13,18,dwarf,barbarian
19,0.6,0.4,28.0,5.6,0.0,0.0,dwarf barbarian strength,1,13,19,dwarf,barbarian
0,0.8,0.2,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,14,0,dwarf,barbarian
1,0.6,0.0,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,14,1,dwarf,barbarian
2,0.8,0.2,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,14,2,dwarf,barbarian
3,0.2,0.6,28.0,5.6,0.0,0.0,dwarf barbarian strength,1,14,3,dwarf,barbarian
4,0.8,0.6,53.0,10.6,0.0,0.0,dwarf barbarian strength,1,14,4,dwarf,barbarian
5,0.4,0.2,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,14,5,dwarf,barbarian
6,0.4,0.0,8.0,1.6,0.0,0.0,dwarf barbarian strength,1,14,6,dwarf,barbarian
7,0.2,0.2,13.0,2.6,0.0,0.0,dwarf barbarian strength,1,14,7,dwarf,barbarian
8,0.6,0.6,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,14,8,dwarf,barbarian
9,0.6,0.4,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,14,9,dwarf,barbarian
10,0.4,0.2,33.0,6.6,0.0,0.0,dwarf barbarian strength,1,14,10,dwarf,barbarian
11,0.8,0.6,31.0,6.2,0.0,0.0,dwarf barbarian strength,1,14,11,dwarf,barbarian
12,0.6,0.4,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,14,12,dwarf,barbarian
13,0.4,0.6,36.0,7.2,0.0,0.0,dwarf barbarian strength,1,14,13,dwarf,barbarian
14,0.6,0.0,20.0,4.0,0.0,0.0,dwarf barbarian strength,1,14,14,dwarf,barbarian
15,0.6,0.4,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,14,15,dwarf,barbarian
16,0.4,0.2,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,14,16,dwarf,barbarian
17,0.4,0.6,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,14,17,dwarf,barbarian
18,0.6,0.0,20.0,4.0,0.0,0.0,dwarf barbarian strength,1,14,18,dwarf,barbarian
19,0.4,0.4,23.0,4.6,0.0,0.0,dwarf barbarian strength,1,14,19,dwarf,barbarian
0,0.2,0.6,22.0,4.4,0.0,0.0,dwarf barbarian strength,1,15,0,dwarf,barbarian
1,0.8,0.2,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,15,1,dwarf,barbarian
2,0.6,0.2,25.0,5.0,0.0,0.0,dwarf barbarian strength,1,15,2,dwarf,barbarian
3,0.8,0.4,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,15,3,dwarf,barbarian
4,0.6,0.2,29.0,5.8,0.0,0.0,dwarf barbarian strength,1,15,4,dwarf,barbarian
5,0.4,0.4,17.0,3.4,0.0,0.0,dwarf barbarian strength,1,15,5,dwarf,barbarian
6,0.6,0.0,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,15,6,dwarf,barbarian
7,0.6,0.4,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,15,7,dwarf,barbarian
8,0.6,0.2,30.0,6.0,0.0,0.0,dwarf barbarian strength,1,15,8,dwarf,barbarian
9,0.4,0.2,18.0,3.6,0.0,0.0,dwarf barbarian strength,1,15,9,dwarf,barbarian
10,0.6,0.0,21.0,4.2,0.0,0.0,dwarf barbarian strength,1,15,10,dwarf,barbarian
11,0.2,0.0,3.0,0.6,0.0,0.0,dwarf barbarian strength,1,15,11,dwarf,barbarian
12,0.6,0.0,26.0,5.2,0.0,0.0,dwarf barbarian strength,1,15,12,dwarf,barbarian
13,0.4,0.2,12.0,2.4,0.0,0.0,dwarf barbarian strength,1,15,13,dwarf,barbarian
14,0.8,0.2,24.0,4.8,0.0,0.0,dwarf barbarian strength,1,15,14,dwarf,barbarian
15,0.2,0.2,7.0,1.4,0.0,0.0,dwarf barbarian strength,1,15,15,dwarf,barbarian
16,0.2,0.0,5.0,1.0,0.0,0.0,dwarf barbarian strength,1,15,16,dwarf,barbarian
