,name,school,subschool,spell_level,casting_time,range,area,effect,targets,duration,saving_throw,spell_resistance,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,adept,deity,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water,bloodline,patron
0,Acid Arrow,conjuration,creation,"sorcerer/wizard 2, magus 2, bloodrager 2",1 standard action,long (400 ft. + 40 ft./level),,one arrow of acid,,1 round + 1 round per three levels,none,no,2.0,2.0,,,,,,,,,,,,2.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,Acid Fog,conjuration,creation,"sorcerer/wizard 6, magus 6, unchained summoner 6",1 standard action,medium (100 ft. + 10 ft./level),,"fog spreads in 20-ft. radius, 20 ft. high",,1 round/level,none,no,6.0,6.0,,,,,,,,,,,,6.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,Acid Splash,conjuration,creation,"sorcerer/wizard 0, summoner/unchained summoner 0, inquisitor 0, magus 0",1 standard action,close (25 ft. + 5 ft./2 levels),,one missile of acid,,instantaneous,none,no,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,Aid,enchantment,compulsion,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,touch,,,living creature touched,1 min./level,none,yes (harmless),,,2.0,,,,,2.0,,,2.0,2.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Ancestors (4)
4,Air Walk,transmutation,,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,touch,,,creature (Gargantuan or smaller) touched,10 min./level,none,yes (harmless),,,4.0,4.0,,,,4.0,,,,4.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,Align Weapon,transmutation,,"cleric/oracle 2, inquisitor 2",1 standard action,touch,,,weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,"Will negates (harmless, object)","yes (harmless, object)",,,2.0,,,,,,,,2.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,Alter Self,transmutation,polymorph,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,personal,,,you,1 min./level,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,Alarm,abjuration,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,none,no,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Destined (3), Kobold Sorcerer (3), Kobold (3)",
8,Analyze Dweomer,divination,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,none or Will negates; see text,no,6.0,6.0,,,,6.0,,6.0,,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
9,Animal Growth,transmutation,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",1 standard action,medium (100 ft. + 10 ft./level),,,one animal (Gargantuan or smaller),1 min./level,Fortitude negates,yes,5.0,5.0,,5.0,4.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Animals (10)
