,ancestry,class,level,dmg_output_options
dwarf barbarian strength,dwarf,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
dwarf fighter strength,dwarf,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
dwarf fighter   dexterity,dwarf,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
dwarf rogue dexterity,dwarf,rogue dexterity,1,"['1d4', '1d6', '1d8']"
dwarf sorcerer charisma,dwarf,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
elf barbarian strength,elf,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
elf fighter strength,elf,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
elf fighter   dexterity,elf,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
elf rogue dexterity,elf,rogue dexterity,1,"['1d4', '1d6', '1d8']"
elf sorcerer charisma,elf,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
halfling barbarian strength,halfling,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
halfling fighter strength,halfling,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
halfling fighter   dexterity,halfling,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
halfling rogue dexterity,halfling,rogue dexterity,1,"['1d4', '1d6', '1d8']"
halfling sorcerer charisma,halfling,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
human-str barbarian strength,human-str,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
human-str fighter strength,human-str,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
human-str fighter   dexterity,human-str,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
human-str rogue dexterity,human-str,rogue dexterity,1,"['1d4', '1d6', '1d8']"
human-str sorcerer charisma,human-str,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
human-dex barbarian strength,human-dex,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
human-dex fighter strength,human-dex,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
human-dex fighter   dexterity,human-dex,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
human-dex rogue dexterity,human-dex,rogue dexterity,1,"['1d4', '1d6', '1d8']"
human-dex sorcerer charisma,human-dex,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
orc-str barbarian strength,orc-str,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
orc-str fighter strength,orc-str,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
orc-str fighter   dexterity,orc-str,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
orc-str rogue dexterity,orc-str,rogue dexterity,1,"['1d4', '1d6', '1d8']"
orc-str sorcerer charisma,orc-str,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
orc-dex barbarian strength,orc-dex,barbarian strength,1,"['1d4', '1d6', '1d8', '1d10', '1d12']"
orc-dex fighter strength,orc-dex,fighter strength,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
orc-dex fighter   dexterity,orc-dex,fighter   dexterity,1,"['1d4', '1d8', '1d10', '1d6', '1d12']"
orc-dex rogue dexterity,orc-dex,rogue dexterity,1,"['1d4', '1d6', '1d8']"
orc-dex sorcerer charisma,orc-dex,sorcerer charisma,1,"['1d4', '1d6', '1d8']"
